id,bin,triplet_type,median_rt
4lce564k,2,H,398.59999999403954
4lce564k,2,L,393.09999999403954
4lce564k,3,H,377.04999999701977
4lce564k,3,L,393.20000000298023
4lce564k,4,H,361.6000000014901
4lce564k,4,L,373
4lce564k,5,H,363.8500000014901
4lce564k,5,L,358.20000000298023
4lce564k,6,H,347.19999998807907
4lce564k,6,L,357.3500000014901
4oenuj4z,1,H,334
4oenuj4z,1,L,341
4oenuj4z,2,H,339
4oenuj4z,2,L,331.5
4oenuj4z,3,H,323
4oenuj4z,3,L,336
4oenuj4z,4,H,311
4oenuj4z,4,L,315
4oenuj4z,5,H,307
4oenuj4z,5,L,309
4oenuj4z,6,H,300
4oenuj4z,6,L,313.5
4osyobtp,1,H,375
4osyobtp,1,L,360.2000000476837
4osyobtp,2,H,392.7000000476837
4osyobtp,2,L,411.2000000476837
4osyobtp,3,H,383.9500000476837
4osyobtp,3,L,384.30000019073486
4osyobtp,4,H,322.7000000476837
4osyobtp,4,L,327.14999997615814
4osyobtp,5,H,340.7000000476837
4osyobtp,5,L,349.90000009536743
4osyobtp,6,H,318.85000002384186
4osyobtp,6,L,333.69999980926514
4tjawqeo,1,H,397.5
4tjawqeo,1,L,399.69999980926514
4tjawqeo,2,H,373.7999997138977
4tjawqeo,2,L,401.40000009536743
4tjawqeo,3,H,380.40000009536743
4tjawqeo,3,L,371.5499999523163
4tjawqeo,4,H,349.69999980926514
4tjawqeo,4,L,359.09999990463257
4tjawqeo,5,H,369.15000009536743
4tjawqeo,5,L,363.7999999523163
4tjawqeo,6,H,369.5
4tjawqeo,6,L,379.69999980926514
4uzthrsp,1,H,399
4uzthrsp,1,L,405.5
4uzthrsp,2,H,409
4uzthrsp,2,L,387.5
4uzthrsp,3,H,391
4uzthrsp,3,L,395.5
4uzthrsp,4,H,362.5
4uzthrsp,4,L,365
4uzthrsp,5,H,381
4uzthrsp,5,L,379
4uzthrsp,6,H,367.5
4uzthrsp,6,L,377
5aqq8r6w,1,H,362.39999985694885
5aqq8r6w,1,L,356.2999999523163
5aqq8r6w,2,H,367
5aqq8r6w,2,L,368.65000009536743
5aqq8r6w,3,H,358.1999999284744
5aqq8r6w,3,L,350.90000009536743
