id,bin,triplet_type,mean_acc
16j46xy8,3,H,0.9435483870967744
16j46xy8,3,L,0.8947368421052632
16j46xy8,4,H,0.9218106995884773
16j46xy8,4,L,0.946236559139785
16j46xy8,5,H,0.9416342412451362
16j46xy8,5,L,0.9425287356321839
16j46xy8,6,H,0.9414225941422594
16j46xy8,6,L,0.9509803921568627
1dyyaw4b,1,H,0.9153225806451614
1dyyaw4b,1,L,0.8863636363636364
1dyyaw4b,2,H,0.8962655601659751
1dyyaw4b,2,L,0.9072164948453608
1dyyaw4b,3,H,0.9139344262295082
1dyyaw4b,3,L,0.8415841584158417
1dyyaw4b,4,H,0.941908713692946
1dyyaw4b,4,L,0.9
1dyyaw4b,5,H,0.9372384937238494
1dyyaw4b,5,L,0.9142857142857144
1dyyaw4b,6,H,0.899581589958159
1dyyaw4b,6,L,0.8823529411764706
1lb7tbr7,1,H,0.9523809523809523
1lb7tbr7,1,L,0.8627450980392156
1lb7tbr7,2,H,0.925
1lb7tbr7,2,L,0.8585858585858586
1lb7tbr7,3,H,0.9508196721311476
1lb7tbr7,3,L,0.8588235294117647
1lb7tbr7,4,H,0.9367588932806324
1lb7tbr7,4,L,0.9111111111111111
1lb7tbr7,5,H,0.9316239316239315
1lb7tbr7,5,L,0.8857142857142857
1lb7tbr7,6,H,0.9453781512605042
1lb7tbr7,6,L,0.900990099009901
1xqec919,1,H,0.978448275862069
1xqec919,1,L,0.96
1xqec919,2,H,0.959349593495935
1xqec919,2,L,0.96
1xqec919,3,H,0.9541666666666667
1xqec919,3,L,0.87
1xqec919,4,H,0.9551020408163265
1xqec919,4,L,0.9183673469387755
1xqec919,5,H,0.9497907949790795
1xqec919,5,L,0.9134615384615385
1xqec919,6,H,0.9224489795918368
1xqec919,6,L,0.9139784946236559
21xapnnh,1,H,0.925
21xapnnh,1,L,0.9072164948453608
21xapnnh,2,H,0.8686440677966102
21xapnnh,2,L,0.8686868686868687
21xapnnh,3,H,0.9090909090909091
21xapnnh,3,L,0.8409090909090909
21xapnnh,4,H,0.925
21xapnnh,4,L,0.865979381443299
21xapnnh,5,H,0.9387755102040817
21xapnnh,5,L,0.9292929292929293
21xapnnh,6,H,0.94140625
21xapnnh,6,L,0.9036144578313253
23h7rpbu,1,H,0.9578544061302682
23h7rpbu,1,L,0.8765432098765432
23h7rpbu,2,H,0.9224489795918367
23h7rpbu,2,L,0.8526315789473684
23h7rpbu,3,H,0.9016393442622951
23h7rpbu,3,L,0.9081632653061225
23h7rpbu,4,H,0.9547325102880658
23h7rpbu,4,L,0.8674698795180722
23h7rpbu,5,H,0.9396551724137931
23h7rpbu,5,L,0.8849557522123894
23h7rpbu,6,H,0.9259259259259259
23h7rpbu,6,L,0.9278350515463918
23rjqvom,1,H,0.8760330578512396
23rjqvom,1,L,0.9207920792079208
23rjqvom,2,H,0.7795918367346936
23rjqvom,2,L,0.7708333333333334
23rjqvom,3,H,0.934156378600823
23rjqvom,3,L,0.865979381443299
23rjqvom,4,H,0.932
23rjqvom,4,L,0.8387096774193548
23rjqvom,5,H,0.8846153846153846
23rjqvom,5,L,0.8777777777777778
23rjqvom,6,H,0.8949579831932771
23rjqvom,6,L,0.8691588785046729
29ehzpe0,1,H,0.8956521739130434
29ehzpe0,1,L,0.8791208791208791
29ehzpe0,2,H,0.9282700421940927
29ehzpe0,2,L,0.9357798165137615
29ehzpe0,3,H,0.936
29ehzpe0,3,L,0.8947368421052632
29ehzpe0,4,H,0.9465020576131687
29ehzpe0,4,L,0.9157894736842105
29ehzpe0,5,H,0.8704453441295547
29ehzpe0,5,L,0.9108910891089109
29ehzpe0,6,H,0.8842975206611571
29ehzpe0,6,L,0.7956989247311828
29zpbmmy,1,H,0.9110169491525424
29zpbmmy,1,L,0.8910891089108911
29zpbmmy,2,H,0.9117647058823529
29zpbmmy,2,L,0.8383838383838385
29zpbmmy,3,H,0.8902439024390242
29zpbmmy,3,L,0.8411214953271028
29zpbmmy,4,H,0.9234042553191489
29zpbmmy,4,L,0.8777777777777778
29zpbmmy,5,H,0.9306122448979591
29zpbmmy,5,L,0.8297872340425533
29zpbmmy,6,H,0.8804780876494024
29zpbmmy,6,L,0.801980198019802
2davx7nt,1,H,0.9554655870445344
2davx7nt,1,L,0.989247311827957
2davx7nt,2,H,0.9446808510638298
2davx7nt,2,L,0.9304347826086956
