id,bin,ls_binwise_rt
4oenuj4z,3,13
4oenuj4z,4,4
4oenuj4z,5,2
4oenuj4z,6,13.5
4osyobtp,1,-14.799999952316284
4osyobtp,2,18.5
4osyobtp,3,0.35000014305114746
4osyobtp,4,4.449999928474426
4osyobtp,5,9.200000047683716
4osyobtp,6,14.849999785423279
4tjawqeo,1,2.1999998092651367
4tjawqeo,2,27.600000381469727
4tjawqeo,3,-8.850000143051147
4tjawqeo,4,9.400000095367432
4tjawqeo,5,-5.3500001430511475
4tjawqeo,6,10.199999809265137
4uzthrsp,1,6.5
4uzthrsp,2,-21.5
4uzthrsp,3,4.5
4uzthrsp,4,2.5
4uzthrsp,5,-2
4uzthrsp,6,9.5
5aqq8r6w,1,-6.099999904632568
5aqq8r6w,2,1.6500000953674316
5aqq8r6w,3,-7.299999833106995
5aqq8r6w,4,12.100000143051147
5aqq8r6w,5,-0.20000004768371582
5aqq8r6w,6,7.600000023841858
5ckvwhwy,1,4.5
5ckvwhwy,2,10.300000011920986
5ckvwhwy,3,-13.79999998211855
5ckvwhwy,4,7.750000014901161
5ckvwhwy,5,-12.599999994039536
5ckvwhwy,6,10.200000002980232
5g9je77m,1,-3.350000001490116
5g9je77m,2,7.949999995529652
5g9je77m,3,11
5g9je77m,4,-3.850000001490116
5g9je77m,5,12.400000005960464
5g9je77m,6,-9.199999995529652
5l6mnknj,1,7.000000000931379
5l6mnknj,2,-6.799999998882356
5l6mnknj,3,-29.59999999962747
5l6mnknj,4,-2.1000000005587935
5l6mnknj,5,3.400000000372586
5l6mnknj,6,3.449999999254942
5tqven48,1,10.5
5tqven48,2,15.5
5tqven48,3,34.90000003576279
5tqven48,4,3.5000000596046448
5tqven48,5,0.4500001072883606
5tqven48,6,1.4499999284744263
5un6y0nb,1,12
5un6y0nb,2,28.5
5un6y0nb,3,34
5un6y0nb,4,20
5un6y0nb,5,1
5un6y0nb,6,17
5vluzm8n,1,5.950000002980232
5vluzm8n,2,-19.800000011920986
5vluzm8n,3,12.5
5vluzm8n,4,4.299999997019768
5vluzm8n,5,-12.599999994039536
5vluzm8n,6,-6.699999988079071
62pu08b1,1,-9.5
62pu08b1,2,15
62pu08b1,3,-5
62pu08b1,4,-9
62pu08b1,5,-10.5
62pu08b1,6,7
63xil5ki,1,11.849999964237213
63xil5ki,2,-3.7499998807907104
63xil5ki,3,14.199999928474426
63xil5ki,4,23.94999998807907
63xil5ki,5,-12.999999940395355
63xil5ki,6,4.850000023841858
66jz8ugt,1,20.399999976158142
66jz8ugt,2,33.200000047683716
66jz8ugt,3,13.399999916553497
66jz8ugt,4,13.75
66jz8ugt,5,6.549999952316284
66jz8ugt,6,9.399999976158142
6f2ol425,1,2.850000023841858
6f2ol425,2,-6.950000107288361
6f2ol425,3,31.200000047683716
6f2ol425,4,6
6f2ol425,5,7.150000035762787
6f2ol425,6,0.15000003576278687
6gwztzbq,1,-0.7999999970197678
6gwztzbq,2,19.00000001490116
6gwztzbq,3,4.499999992549419
6gwztzbq,4,23.50000001490116
6gwztzbq,5,4.4000000059604645
6gwztzbq,6,17.00000000745058
6jpt0age,1,27.75
6jpt0age,2,16.30000001192093
6jpt0age,3,-0.6999999284744263
6jpt0age,4,4.949999988079071
6jpt0age,5,-8.500000059604645
6jpt0age,6,13.300000071525574
6ui53ym6,1,-7.199999988079071
6ui53ym6,2,-17.24999998509884
6ui53ym6,3,12.400000005960464
6ui53ym6,4,24.00000001490116
6ui53ym6,5,-9.150000005960464
6ui53ym6,6,39.29999998211855
7cwp4v6n,1,12
7cwp4v6n,2,6
7cwp4v6n,3,14
7cwp4v6n,4,20.5
7cwp4v6n,5,3
7cwp4v6n,6,7.5
7e2tmpa6,1,-7.300000000745001
7e2tmpa6,2,-33.650000000372586
7e2tmpa6,3,15.099999999627528
7e2tmpa6,4,8.699999999254942
7e2tmpa6,5,-8.100000001490116
7e2tmpa6,6,10.549999998882413
7etrw5nu,1,-4.5
7etrw5nu,2,-5.300000004470348
7etrw5nu,3,5.800000000745058
7etrw5nu,4,-0.2499999962747097
7etrw5nu,5,0
7etrw5nu,6,-0.14999999478459358
7qw1xhrh,1,-20.699999928474426
